episode_id,episode_title,show_name,published_at,as_of_date,total_performance_combined,audio_downloads_total,audio_downloads_7day,audio_downloads_30day,youtube_views_total,youtube_views_7day,youtube_views_30day,is_full_length,starting_percentile,retention_at_point_1,first_dropoff_percentile,retention_at_first_dropoff,first_dropoff_pct,second_dropoff_percentile,retention_at_second_dropoff,second_dropoff_pct,num_upward_spikes,max_spike_pct
11114,"Introducing Big Bro with Kid Cudi — Launching April 1st, 2026 🚀",Big Bro with Kid Cudi,3/26/2026 22:59:00,7/20/2026,415,415,118,241,,,,,,,,,,,,,,
11018,"Pat Surtain II & Terrion Arnold on Broncos AFC Championship Loss, NFL Off-Season & NBA Trade MADNESS",Closed on Sundays with Pat Surtain & Terrion Arnold,2/6/2026 0:00:00,7/20/2026,18981,1962,1369,1738,17019,14632,16220,TRUE,1,0.9191,2,0.6193,-0.2998,3,0.5777,-0.0416,24,0.038
11040,"Seahawks Jalen Milroe on Super Bowl Win, Backup QB Confessions & UNTOLD Nick Saban Retirement Story",Closed on Sundays with Pat Surtain & Terrion Arnold,2/18/2026 13:00:00,7/20/2026,53225,2074,1431,1756,51151,42890,47964,TRUE,1,0.8989,2,0.5072,-0.3917,3,0.4148,-0.0924,16,0.1507
11055,"Steelers Asante Samuel Jr. on Facing Spinal Surgery, NFL Combine MYTHS & Playing with Aaron Rodgers",Closed on Sundays with Pat Surtain & Terrion Arnold,2/26/2026 13:00:00,7/20/2026,10840,2093,1190,1485,8747,6997,7739,TRUE,1,0.8826,2,0.5943,-0.2883,3,0.5333,-0.061,25,0.0534
10952,"Champ Bailey UNLOCKED: Playing with Deion Sanders, Super Bowl Stories & The BLOCKBUSTER Denver Trade",Closed on Sundays with Pat Surtain & Terrion Arnold,1/7/2026 13:00:00,7/20/2026,28654,2149,1500,1912,26505,22199,24989,TRUE,1,0.8534,2,0.5247,-0.3287,3,0.4878,-0.0369,15,0.0365
10969,The REAL DBU: New Orleans Saints Kool-Aid McKinstry’s NFL BREAKOUT & UNTOLD Nick Saban Stories,Closed on Sundays with Pat Surtain & Terrion Arnold,1/14/2026 15:45:00,7/20/2026,43766,2177,1607,1924,41589,33823,37596,TRUE,1,0.8543,2,0.4883,-0.366,3,0.4444,-0.0439,35,0.0577
10979,"INSIDE AFC Championship Week: Broncos Nik Bonitto on Bo Nix, SWARMING Josh Allen & NFL Playoff CHAOS",Closed on Sundays with Pat Surtain & Terrion Arnold,1/21/2026 18:55:00,7/20/2026,34888,2270,1720,2020,32618,30632,31746,TRUE,1,0.8987,2,0.6238,-0.2749,3,0.5605,-0.0633,16,0.0624
11268,Inside Milly Alcock’s Supergirl Transformation,Big Bro with Kid Cudi,6/10/2026 13:00:00,7/20/2026,71960,8581,6457,8306,63379,43681,61744,TRUE,1,0.8913,2,0.571,-0.3203,3,0.4085,-0.1625,30,0.0116
11232,"Kid Cudi Reveals NEW SONG, Craziest Tour Stories & More with Chip Tha Ripper",Big Bro with Kid Cudi,5/20/2026 13:00:00,7/20/2026,31235,9768,6839,8947,21467,16151,20141,TRUE,1,0.7976,2,0.5182,-0.2794,3,0.488,-0.0302,27,0.0176
11245,"Mike Epps Swaps Wild Stories with Kid Cudi: Baby Mama Drama, Classic Movies & Weird Hobbies 🤣",Big Bro with Kid Cudi,5/27/2026 13:00:00,7/20/2026,138580,9947,7014,9165,128633,81871,122596,TRUE,1,0.8491,2,0.5555,-0.2936,3,0.5239,-0.0316,16,0.0235
